complaint,category,priority,department
Broken footpath near junction for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Garbage burning smell at main road daily.,Sanitation,Medium,sanitation
Accident happened in 2nd street for 3 days. Ambulance required.,Emergency,High,emergency
There is a water pipeline leak near junction every morning.,Water Supply,Medium,water
Electrocution hazard near park for many days. Very dangerous.,Emergency,High,emergency
Gas leak smell at main road since yesterday. Please respond fast.,Emergency,High,emergency
Road surface is damaged near bridge daily. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Accident happened near park every morning. Ambulance required.,Emergency,High,emergency
Voltage fluctuation near railway gate since yesterday. Appliances are getting damaged.,Electricity,Medium,electricity
Need help regarding civic issue in our area from last month.,General,Medium,general
Drain water stagnation in our area from last night.,Drainage & Sewage,Medium,drainage
Power cut near junction from last month.,Electricity,Medium,electricity
Waste dumped openly near junction from last night.,Sanitation,Medium,sanitation
Dustbin overflowing near junction for 1 week.,Sanitation,Medium,sanitation
Lamp post broken near bridge from last night.,Street Lights,Medium,streetlights
There is a water pipeline leak in 2nd street for many days.,Water Supply,Medium,water
Transformer sparking near temple after rain.,Electricity,High,electricity
Drain water stagnation near bus stop for 1 week.,Drainage & Sewage,Medium,drainage
Garbage is not collected near junction since morning.,Sanitation,Medium,sanitation
Accident happened behind the apartment for many days. Ambulance required.,Emergency,High,emergency
Electricity not available in 2nd street for 3 days.,Electricity,Medium,electricity
Drainage is blocked in my street after rain. Water is overflowing.,Drainage & Sewage,Medium,drainage
Street lights are off near hospital after rain. Unsafe at night.,Street Lights,High,streetlights
Aggressive stray dog bite risk near market from last night.,Animal Control,High,animals
Voltage fluctuation at main road from last month. Appliances are getting damaged.,Electricity,Medium,electricity
Voltage fluctuation at main road since yesterday. Appliances are getting damaged.,Electricity,Medium,electricity
Dog barking and chasing vehicles in my street for 3 days.,Animal Control,Medium,animals
Stray animals near school near temple every morning.,Animal Control,Medium,animals
Electrocution hazard at main road after rain. Very dangerous.,Emergency,High,emergency
Dustbin overflowing near bridge from last month.,Sanitation,Medium,sanitation
Transformer sparking near park for 3 days.,Electricity,High,electricity
Low water pressure near park for 3 days.,Water Supply,Medium,water
Lamp post broken near bridge every morning.,Street Lights,Medium,streetlights
Open manhole on the road near temple since morning. Accident risk is high.,Road & Infrastructure,High,roads
Waste dumped openly near junction for 1 week.,Sanitation,Medium,sanitation
Broken footpath at main road daily. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Aggressive stray dog bite risk near hospital since morning.,Animal Control,High,animals
Multiple street lights damaged at main road daily.,Street Lights,Medium,streetlights
Request immediate action near school since yesterday.,General,Medium,general
Water overflow near pipeline near market for 1 week.,Water Supply,Medium,water
Gas leak smell near railway gate for 1 week. Please respond fast.,Emergency,High,emergency
Gas leak smell behind the apartment from last night. Please respond fast.,Emergency,High,emergency
Public issue needs attention near bus stop from last night.,General,Medium,general
Need help regarding civic issue near school since morning.,General,Medium,general
Public toilet is dirty at main road for 1 week.,Health & Hygiene,Medium,health
Fire incident reported in 2nd street for 3 days. Need immediate help.,Emergency,High,emergency
Drain cover broken near park for 3 days.,Drainage & Sewage,Medium,drainage
Stray dogs causing trouble near bus stop from last month.,Animal Control,Medium,animals
Bad smell and hygiene issue near junction for many days.,Health & Hygiene,Medium,health
Public toilet is dirty near junction for 1 week.,Health & Hygiene,Medium,health
Complaint about local problem near bus stop after rain.,General,Medium,general
Waste dumped openly near park from last night.,Sanitation,Medium,sanitation
Request immediate action near bus stop for 3 days.,General,Medium,general
Bad smell and hygiene issue near temple since yesterday.,Health & Hygiene,Medium,health
Garbage burning smell near railway gate for many days.,Sanitation,Medium,sanitation
Bad smell and hygiene issue near temple for 3 days.,Health & Hygiene,Medium,health
Sewage overflow near junction for 3 days. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged near junction for 1 week.,Street Lights,Medium,streetlights
Fever cases increasing due to mosquitoes near temple daily.,Health & Hygiene,Medium,health
Low water pressure near park from last night.,Water Supply,Medium,water
Drain cover broken near school after rain.,Drainage & Sewage,Medium,drainage
Stray dogs causing trouble in my street for 3 days.,Animal Control,Medium,animals
Public toilet is dirty in 2nd street from last month.,Health & Hygiene,Medium,health
Low water pressure near market since yesterday.,Water Supply,Medium,water
Mosquito problem is unbearable near school daily. Dengue risk.,Health & Hygiene,Medium,health
Voltage fluctuation behind the apartment from last month. Appliances are getting damaged.,Electricity,Medium,electricity
Dead animal not removed near bridge since yesterday.,Sanitation,Medium,sanitation
Gas leak smell at main road for 1 week. Please respond fast.,Emergency,High,emergency
Multiple street lights damaged near temple from last night.,Street Lights,Medium,streetlights
Electricity not available near school since yesterday.,Electricity,Medium,electricity
Drain cover broken near park for 3 days.,Drainage & Sewage,Medium,drainage
Dead animal not removed near railway gate for 1 week.,Sanitation,Medium,sanitation
Water supply is not coming near market from last night.,Water Supply,Medium,water
There is a serious pothole near junction since morning.,Road & Infrastructure,Medium,roads
Dustbin overflowing near bridge since yesterday.,Sanitation,Medium,sanitation
There is a frequent pothole near railway gate for many days.,Road & Infrastructure,Medium,roads
Aggressive stray dog bite risk near bridge after rain.,Animal Control,High,animals
Stagnant water causing mosquitoes near park from last month.,Health & Hygiene,Medium,health
Electric pole wire loose near hospital daily.,Electricity,High,electricity
Public toilet is dirty near bus stop from last night.,Health & Hygiene,Medium,health
Speed breaker damaged in my street for 3 days. Causing traffic issues.,Road & Infrastructure,Medium,roads
Dead animal not removed near bus stop for 3 days.,Sanitation,Medium,sanitation
Fever cases increasing due to mosquitoes near junction after rain.,Health & Hygiene,Medium,health
Public issue needs attention near junction for many days.,General,Medium,general
Mosquito problem is unbearable near temple since morning. Dengue risk.,Health & Hygiene,Medium,health
There is a continuous pothole near park since morning.,Road & Infrastructure,Medium,roads
Stray animals near school near hospital after rain.,Animal Control,High,animals
Lamp post broken near hospital for 3 days.,Street Lights,High,streetlights
Public toilet is dirty near temple for 3 days.,Health & Hygiene,Medium,health
Dustbin overflowing near school from last month.,Sanitation,Medium,sanitation
There is a water pipeline leak near park daily.,Water Supply,Medium,water
Open manhole on the road near junction after rain. Accident risk is high.,Road & Infrastructure,High,roads
Garbage burning smell near bridge every morning.,Sanitation,Medium,sanitation
Cows blocking road near hospital from last night.,Animal Control,High,animals
Water supply is not coming behind the apartment for 1 week.,Water Supply,Medium,water
Street lights are off at main road from last night. Unsafe at night.,Street Lights,Medium,streetlights
Gas leak smell near temple for many days. Please respond fast.,Emergency,High,emergency
Drainage is blocked near bridge from last night. Water is overflowing.,Drainage & Sewage,Medium,drainage
Drain cover broken near bridge for 1 week.,Drainage & Sewage,Medium,drainage
Cows blocking road in my street since morning.,Animal Control,Medium,animals
